!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	8/18/2025				
!Table_name	drug_information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
coenzyme-I	Phase 2		AASS | ACADS | ADH1A | ADH1B | ADH1C | ADH4 | ADH5 | ADH7 | AKR1B1 | AKR1C1 | AKR1C2 | AKR1C3 | AKR1C4 | ALDH1A1 | ALDH1A2 | ALDH1A3 | ALDH1B1 | ALDH2 | ALDH3A1 | ALDH3A2 | ALDH3B1 | ALDH3B2 | ALDH4A1 | ALDH5A1 | ALDH6A1 | ALDH7A1 | ALDH9A1 | AMT | BDH1 | BLVRA | BLVRB | CDO1 | CYB5R3 | CYP17A1 | CYP4A11 | DHCR7 | DHFR | DLAT | DLD | EHHADH | GAPDH | GAPDHS | GLUD1 | GLUD2 | GPD1 | GSR | H6PD | HADH | HADHA | HIBADH | HMGCR | HMOX1 | HMOX2 | HPGD | HSD11B1 | HSD11B2 | HSD17B1 | HSD17B10 | HSD17B2 | HSD17B3 | HSD17B4 | HSD17B7 | HSD17B8 | HSD3B1 | HSD3B2 | IDH3A | IDH3B | IDH3G | IMPDH1 | IMPDH2 | LDHA | LDHAL6A | LDHAL6B | LDHB | LDHC | MDH1 | MDH2 | ME1 | ME2 | ME3 | MSMO1 | MTHFD1 | MTHFD2 | MT-ND1 | MT-ND2 | MT-ND3 | MT-ND4 | MT-ND4L | MT-ND5 | MT-ND6 | NDUFA1 | NDUFA10 | NDUFA11 | NDUFA12 | NDUFA13 | NDUFA2 | NDUFA3 | NDUFA4 | NDUFA4L2 | NDUFA5 | NDUFA6 | NDUFA7 | NDUFA8 | NDUFA9 | NDUFAB1 | NDUFB1 | NDUFB10 | NDUFB2 | NDUFB3 | NDUFB4 | NDUFB5 | NDUFB6 | NDUFB7 | NDUFB8 | NDUFB9 | NDUFC1 | NDUFC2 | NDUFS1 | NDUFS2 | NDUFS3 | NDUFS4 | NDUFS5 | NDUFS6 | NDUFS7 | NDUFS8 | NDUFV1 | NDUFV2 | NDUFV3 | NNT | NQO2 | NSDHL | OGDH | PDHA1 | PDHA2 | PDHB | PHGDH | PYCR1 | PYCR2 | QDPR | RDH5 | SORD | TSTA3 | TYR | UGDH		
coenzyme-Q10	Launched				
COH29	Phase 1	ribonucleotide reductase inhibitor	RRM2		
colchicine	Launched	microtubule inhibitor	GLRA1 | GLRA2 | TUBA1A | TUBA1B | TUBA1C | TUBA3C | TUBA3D | TUBA3E | TUBA4A | TUBB | TUBB1 | TUBB2A | TUBB2B | TUBB3 | TUBB4A | TUBB4B | TUBB6 | TUBB8	endocrinology | rheumatology	fever | gout
colforsin	Phase 2	adenylyl cyclase activator	ADCY2 | ADCY5		
colforsin-daproate	Launched	adenylyl cyclase activator			
colfosceril-palmitate	Launched	pulmonary surfactant		pulmonary	respiratory distress syndrome (RDS)
colistimethate	Launched	bacterial permeability inducer		infectious disease	gram-negative bacterial infections
colistimethate sodium	Launched	bacterial permeability inducer		infectious disease	gram-negative bacterial infections
colistin	Launched	bacterial permeability inducer		infectious disease	gram-negative bacterial infections
colistin-b-sulfate					
colistin sulfate					
colistin (sulfate)					
combretastatin-A-4	Phase 2	tubulin polymerization inhibitor			
compound-401	Preclinical	DNA dependent protein kinase inhibitor	MTOR | PRKDC		
compound-58112	Preclinical				
compound-w	Preclinical	beta-secretase inhibitor	BACE1		
conivaptan	Launched	vasopressin receptor antagonist	AVPR1A | AVPR2 | OXT | OXTR	endocrinology	hyponatremia
convallatoxin	Preclinical	cardiac glycoside	ATP1A1 | ATP1A2 | ATP1A3 | ATP1A4 | ATP1B1 | ATP1B2 | ATP1B3 | ATP1B4		
copanlisib	Launched	PI3K inhibitor	PIK3CA | PIK3CB | PIK3CD | PIK3CG	hematologic malignancy	follicular lymphoma
copper-histidine	Phase 3		SLC15A3 | SLC15A4 | SLC38A5		
COR-170	Preclinical	cannabinoid receptor inverse agonist	CNR2		
cordycepin	Phase 1/Phase 2	DNA inhibitor			
corosolic-acid	Phase 2	PKC inhibitor | protein tyrosine kinase inhibitor	HSD11B1 | PTPN1		
CORT-108297	Preclinical	glucocorticoid receptor antagonist	NR3C1 | NR3C2		
corticosterone	Preclinical	mineralocorticoid receptor agonist	HSD11B1 | NCOA1 | NR3C2		
cortisone	Launched	glucocorticoid receptor agonist	NR3C1	"dermatology | dermatology | gastroenterology | gastroenterology, rheumatology, dermatology | rheumatology | rheumatology"	"eczema | joint inflammation | psoriasis | rheumatoid arthritis | ulcerative colitis | ulcerative colitis, rheumatoid arthritis, psoriasis, joint inflammation, eczema"
cortisone-acetate	Launched	glucocorticoid receptor agonist	NR3C1	allergy | allergy | dermatology | gastroenterology | infectious disease | ophthalmology | pulmonary | rheumatology | rheumatology	allergic rhinitis | asthma | conjunctivitis | meningitis | osteoarthritis | psoriasis | rheumatoid arthritis | ulcerative colitis | urticaria
cortodoxone	Phase 3	androgen receptor antagonist	AR		
costunolide	Preclinical	telomerase inhibitor			
COTI-2	Phase 1	anticancer agent	TP53		
cot-inhibitor-1	Preclinical	MAPK-interacting kinase inhibitor	MAP3K8 | TNF		
cot-inhibitor-2	Preclinical	MAPK-interacting kinase inhibitor	MAP3K8 | TNF		
cotinine	Phase 2	nicotine metabolite			
coumarin	Launched	vitamin K antagonist	CA1 | CA12 | CA14 | CA2 | CA4 | CA6 | CA9 | CYP2A6	gastroenterology | gastroenterology | pulmonary	asthma | celiac disease | ulcerative colitis
coumophos	Preclinical	cholinesterase inhibitor			
"CP-105,696"	Preclinical	leukotriene receptor antagonist	LTB4R		
CP-316819	Preclinical	glycogen phosphorylase inhibitor	PYGL		
CP-339818	Preclinical	potassium channel blocker	KCNA2 | KCNA3 | KCNA5 | KCNAB2 | KCNC1 | KCNC2 | KCNC3 | KCNE1 | KCNE2 | KCNE3 | KCNE4 | KCNH1 | KCNH2 | KCNQ1 | KCNQ2 | KCNQ3 | KCNQ5 | KCNS3		
CP-376395	Phase 1	corticotropin releasing factor receptor antagonist	CRHR1		
CP-471474	Preclinical	matrix metalloprotease inhibitor	MMP1 | MMP13 | MMP2 | MMP3 | MMP9		
CP-532623	Phase 1	cholesteryl ester transfer protein inhibitor	CETP		
CP-547632	Phase 2	kinase inhibitor	DDR2 | EGFR | FGF2 | KDR		
CP-640186	Preclinical	acetyl-CoA carboxylase inhibitor	ACACA | ACACB		
CP-673451	Preclinical	PDGFR tyrosine kinase receptor inhibitor	KIT | PDGFRA | PDGFRB		
CP-724714	Phase 2	EGFR inhibitor | protein tyrosine kinase inhibitor	ERBB2		
CP-775146	Preclinical	PPAR receptor agonist	PPARA		
CP-91149	Preclinical	glycogen phosphorylase inhibitor	PYGL		
CP-93129	Preclinical	serotonin receptor agonist	HTR1A | HTR1B		
CP-94253	Preclinical	serotonin receptor agonist	HTR1B		
"CP-945,598"	Phase 3	cannabinoid receptor antagonist	CNR1		
CP-99994	Phase 2	tachykinin antagonist	TACR1		
CPA-inhibitor	Preclinical	carboxypeptidase inhibitor	CPA1 | CPA2		
CPCCOEt	Preclinical	glutamate receptor antagonist	GRM1		
CPI-0610	Phase 2	bromodomain inhibitor	BRD4		
CPI-1189	Phase 2	tumor necrosis factor release inhibitor	TNF		
CPI-1205	Phase 1/Phase 2	EZH2 inhibitor	EZH2		
CPI-169	Preclinical	histone lysine methyltransferase inhibitor	EZH2		
CPI-203	Preclinical	bromodomain inhibitor	BRD4 | IL6		
CPI-360	Preclinical	histone lysine methyltransferase inhibitor	EZH2		
CPI-444	Phase 1/Phase 2	adenosine receptor antagonist	ADORA2A		
CPI-613	Phase 3	pyruvate dehydrogenase inhibitor	OGDH | PDHA1		
CPP	Phase 2	glutamate receptor antagonist	GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D		
CPSI-1306-(+/-)	Preclinical	macrophage migration inhibiting factor inhibitor	MIF		
CQS	Preclinical				
CR8-(R)	Preclinical	CDK inhibitor	CCNA2 | CCNE1 | CCNH | CCNT1 | CDK1 | CDK2 | CDK5 | CDK7 | CDK9		
creatine	Launched		CKB | CKM | CKMT1A | CKMT2 | GAMT | SLC6A8		
creatinine	Preclinical				
creatinol-phosphate	Launched				
crenigacestat	Preclinical	notch signaling inhibitor	NOTCH1 | NOTCH2 | NOTCH3 | NOTCH4		
crenolanib	Phase 3	PDGFR tyrosine kinase receptor inhibitor	CSF1R | FLT3 | KIT | PDGFRA | PDGFRB		
cresol	Launched				
cresopirine	Preclinical				
cridanimod	Launched	progesterone receptor agonist	PGR	infectious disease	influenza A virus infection
crisaborole	Launched	phosphodiesterase inhibitor	CXCL8 | IFNG | IL1B | IL2 | IL6 | PDE4A | PDE4B | PDE4C | PDE4D | TNF	dermatology	dermatitis
crisdesalazine	Preclinical	free radical scavenger	PTGES		
crizotinib	Launched	ALK tyrosine kinase receptor inhibitor	ALK | CYP2B6 | CYP3A5 | MET | MST1R | ROS1	oncology	non-small cell lung cancer (NSCLC)
crizotinib-(S)	Preclinical	MTH1 inhibitor	NUDT1		
crocin	Launched	microtubule inhibitor	BCL2 | BIRC5 | CCND1 | TPPP	endocrinology	hyperglycemia
croconazole	Launched	bacterial cell wall synthesis inhibitor		infectious disease	fungal infection
crolibulin	Phase 1/Phase 2	tubulin polymerization inhibitor			
cromakalim	Phase 2		ABCC9 | KCNJ8		
cromoglicic-acid	Launched	immunosuppressant	KCNMA1 | S100P	allergy | gastroenterology | ophthalmology | pulmonary	asthma | conjunctivitis | ulcerative colitis | urticaria
crotamiton	Launched	antipruritic		infectious disease	scabies
CRT0044876	Preclinical				
cryptotanshinone	Preclinical	acetylcholinesterase inhibitor | STAT inhibitor	ACHE | AKR1B1 | PTGS2 | STAT3		
crystal violet	Launched	other antibiotic			
crystal-violet	Launched	other antibiotic			
CS-110266	Preclinical	dopamine receptor agonist	SLC6A3		
CS-917	Phase 2	fructose biphosphate inhibitor	FBP1		
CT7001	Phase 1/Phase 2	CDK inhibitor	CDK7		
CT-7758	Phase 2	integrin antagonist	ITGA4		
CTEP	Preclinical	glutamate receptor antagonist	GRM5		
CTS-1027	Phase 2	metalloproteinase inhibitor	MMP1 | MMP12 | MMP13 | MMP14 | MMP2 | MMP3 | MMP8 | MMP9		
CTS21166	Phase 1	beta-secretase inhibitor	BACE1		
CU-CPT-4a	Preclinical	toll-like receptor inhibitor	TLR3		
CUDC-101	Phase 1	EGFR inhibitor	EGFR | ERBB2		
CUDC-427	Phase 1	apoptosis inhibitor	XIAP		
CUDC-907	Phase 2	PI3K inhibitor	HDAC2 | PIK3R1		
CUR-61414	Phase 1	smoothened receptor antagonist	DHH | IHH | PTCH1 | SMO		
curcumin	Launched	cyclooxygenase inhibitor | histone acetyltransferase inhibitor | lipoxygenase inhibitor | NFkB pathway inhibitor	APP | CA1 | CA12 | CA14 | CA2 | CA4 | CA6 | CA9 | CCND1 | CHRM3 | CYP3A4 | DNMT1 | DNMT3B | EP300 | G6PC | MAPT | MMP13 | MMP9 | NOS2 | PTGS1 | PTGS2 | XDH		
curcumol	Phase 1	JAK inhibitor	JAK1 | JAK2 | JAK3		
CU-T12-9	Preclinical	toll-like receptor agonist	TLR1 | TLR2		
cutamesine	Phase 2	sigma receptor agonist	SIGMAR1		
CV-1808	Preclinical	adenosine receptor agonist	ADORA2A | ADORA2B		
CVT-10216	Phase 1	aldehyde dehydrogenase inhibitor	ALDH1A2 | ALDH2 | ALDH5A1 | ALDH7A1		
CW-008	Preclinical	PKA activator	PRKACA		
CX-4945	Phase 1/Phase 2	casein kinase inhibitor	CSNK2A1 | CSNK2A2 | CSNK2B | DAPK3 | HIPK3		
CX-516	Phase 2/Phase 3	glutamate receptor modulator			
CX-5461	Phase 1	RNA polymerase inhibitor			
CXD101	Phase 1/Phase 2	HDAC inhibitor	HDAC1		
CY208-243	Phase 2	dopamine receptor agonist	CALY | DRD1		
cyacetacide	Preclinical				
cyamemazine	Launched	serotonin receptor antagonist	HTR1A | HTR2A | HTR2C | HTR7	neurology/psychiatry | neurology/psychiatry	anxiety | schizophrenia
cyanocobalamin	Launched	methylmalonyl CoA mutase stimulant | vitamin B	MUT	gastroenterology | hematology | infectious disease	anemia | celiac disease | fish tapeworm infestation
cyanopindolol	Phase 2	adrenergic receptor antagonist	ADRB1 | HTR1A | HTR1D		
CYC065	Phase 1	CDK inhibitor	CDK2 | CDK9		
CYC116	Phase 1	Aurora kinase inhibitor	AURKA | AURKB | AURKC | KDR		
cyclamic-acid	Preclinical				
cyclandelate	Launched	calcium channel blocker		cardiology | cardiology | rheumatology	arteriosclerosis | claudication | Raynaud's disease
cyclic-AMP	Preclinical		CNGA3 | TRPM7		
cyclizine	Launched	histamine receptor modulator	HRH1 | SULT1E1	gastroenterology | gastroenterology | neurology/psychiatry | neurology/psychiatry	motion sickness | nausea | vertigo | vomiting
cyclobenzaprine	Launched	adrenergic receptor agonist | serotonin receptor agonist	HTR2A	neurology/psychiatry	spasms
cyclocreatine	Phase 1	creatine kinase substrate			
cyclocytidine	Preclinical	DNA synthesis inhibitor | RNA synthesis inhibitor			
cycloheximide	Preclinical	protein synthesis inhibitor	GSK3B | RPL3		
cyclopamine	Preclinical	hedgehog pathway inhibitor			
cyclopenthiazide	Launched	thiazide diuretic		cardiology | cardiology	congestive heart failure | hypertension
cyclopentolate	Launched	acetylcholine receptor antagonist		ophthalmology | ophthalmology	cycloplegia | mydriasis
cyclophosphamide	Launched	DNA alkylating agent	BCL2 | CYP2A6 | CYP2B6 | CYP2C18 | CYP2C19 | CYP2C8 | CYP2C9 | CYP2D6 | CYP3A4 | CYP3A5 | CYP3A7 | LGALS1	hematologic malignancy | hematologic malignancy | hematologic malignancy | hematologic malignancy | hematologic malignancy | hematologic malignancy | hematologic malignancy | hematologic malignancy | hematologic malignancy | oncology | oncology | oncology | oncology	acute lymphoblastic leukemia (ALL) | acute myeloid leukemia (AML) | breast cancer | Burkitt's lymphoma | chronic lymphocytic leukemia (CLL) | chronic myeloid leukemia (CML) | Hodgkin's lymphoma | multiple myeloma | neuroblastoma | ovarian cancer | retinoblastoma | small lymphocytic lymphoma (SLL) | true histiocytic lymphoma (THL)
cyclopiazonic acid	Preclinical	endoplasmic reticulum calcium atpase inhibitor			
cyclopiazonic-acid	Preclinical	ATPase inhibitor	ATP2A1		
cycloserine-(D)	Launched	bacterial cell wall synthesis inhibitor	GRIN1	infectious disease	tuberculosis
cyclosporin-A	Launched	calcineurin inhibitor	ABCB11 | CAMLG | CYP3A5 | CYP3A7 | FPR1 | PPIA | PPID | PPIF | PPP3CA | PPP3R2 | SLC10A1 | SLCO1B1 | SLCO1B3	dermatology | rheumatology	psoriasis | rheumatoid arthritis
cyclothiazide	Launched	glutamate receptor modulator	CA2 | GRIA1 | GRIA2 | GRIA3 | GRIA4 | SLC12A3	cardiology	hypertension
cyclovalone	Launched	breast cancer resistance protein inhibitor	ABCC1 | ABCG2	gastroenterology	bile stimulation
cyclovirobuxin-D	Preclinical	calcium channel modulator			
CycLuc1	Preclinical				
CYM-50260	Preclinical	sphingosine 1-phosphate receptor agonist	S1PR4		
CYM-50358	Preclinical	sphingosine 1-phosphate receptor antagonist	S1PR4		
CYM-50769	Preclinical	neuropeptide receptor antagonist	NPBWR1		
CYM-5442	Preclinical	sphingosine 1-phosphate receptor agonist	S1PR1		
CYM-5520	Preclinical	sphingosine 1-phosphate receptor agonist	S1PR2		
CYM-5541	Preclinical	sphingosine 1-phosphate receptor agonist	S1PR3		
cypermethrin	Launched			infectious disease	flea control
cyproheptadine	Launched	histamine receptor antagonist	ADRA1A | ADRA1B | ADRA1D | CHRM1 | CHRM2 | CHRM3 | HRH1 | HTR2A | HTR2B | HTR2C | HTR6 | HTR7	allergy | allergy | dermatology | ophthalmology | otolaryngology	allergic rhinitis | conjunctivitis | dermatographism | urticaria | vasomotor rhinitis
cyproterone					
cyproterone-acetate	Launched	androgen receptor antagonist	ADORA1 | AR	oncology	prostate cancer
cyromazine	Launched				
cysteamine	Launched	tissue transglutaminase inhibitor	NPY2R | SST | TGM2	metabolism	cystinosis
cysteamine hcl					
cyt387	Phase 3	JAK inhibitor	JAK1 | JAK2 | JAK3		
CYT-997	Phase 2	tubulin polymerization inhibitor	TUBB		
cytarabine	Launched	ribonucleotide reductase inhibitor	POLA1 | POLB | POLD1 | POLE	hematologic malignancy | hematologic malignancy | hematologic malignancy | hematologic malignancy	acute lymphoblastic leukemia (ALL) | acute myeloid leukemia (AML) | chronic lymphocytic leukemia (CLL) | non-Hodgkin lymphoma (NHL)
cytidine	Launched		UCK2		
cytisine	Launched	acetylcholine receptor agonist	CHRNA2 | CHRNA3 | CHRNA4 | CHRNA6 | CHRNA7 | CHRNB2 | CHRNB4	neurology/psychiatry	nicotinism
cytochalasin-B	Phase 2	microtubule inhibitor	ACTB		
cytochlor	Phase 1				
CZC24832	Preclinical	PI3K inhibitor	PIK3CG		
CZC-54252	Preclinical	leucine rich repeat kinase inhibitor	LRRK2		
D-157495	Preclinical	decapping scavenger enzyme inhibitor	DCPS		
D-3263	Phase 1	transient receptor potential channel agonist	TRPM8		
D-4476	Preclinical	TGF beta receptor inhibitor	CSNK1A1 | CSNK1D | TGFB1		
d609	Preclinical	phospholipase inhibitor		Neurology	alzheimer's disease
D609	Preclinical	phospholipase inhibitor			
D-64131	Preclinical	microtubule inhibitor	TUBB		
D-7193	Phase 2				
DAA-1106	Preclinical	benzodiazepine receptor agonist	TSPO		
dabigatran	Launched	thrombin inhibitor	F2	hematology | hematology | hematology | neurology/psychiatry	deep vein thrombosis (DVT) | pulmonary embolism (PE) | stroke | systemic embolism
dabigatran-etexilate	Launched	thrombin inhibitor	F2	hematology | hematology | hematology | neurology/psychiatry	deep vein thrombosis (DVT) | pulmonary embolism (PE) | stroke | systemic embolism
dabrafenib	Launched	RAF inhibitor	BRAF | CYP2B6 | CYP2C19 | CYP2C8 | CYP3A4 | LIMK1 | NEK11 | RAF1 | SIK1	oncology	melanoma
dabuzalgron	Phase 1	adrenergic receptor agonist	ADRB3	urology	urinary incontinence
dacarbazine	Launched	DNA alkylating agent	PGD | POLA2	hematologic malignancy | oncology	Hodgkin's lymphoma | melanoma
dacinostat	Phase 1	HDAC inhibitor	HDAC1 | HDAC2 | HDAC3 | HDAC4 | HDAC5 | HDAC6 | HDAC7 | HDAC8 | HDAC9		
daclatasvir	Launched	HCV inhibitor		infectious disease	hepatitis C
dacomitinib	Launched	EGFR inhibitor	EGFR | ERBB2 | ERBB4		
dactinomycin	Launched	RNA polymerase inhibitor	POLR2A	oncology | oncology | oncology | oncology | oncology	Ewing's sarcoma | gestational trophoblastic disease (GTD) | rhabdomyosarcoma | testicular carcinoma | Wilm's tumor
daidzein	Phase 2	estrogen receptor agonist	ESRRA | ESRRB | ESRRG | TRPC5		
daidzin	Phase 1	antioxidant	ALDH2		
"(d-ala2,d-leu5)-enkephalin"	Phase 2	opioid receptor agonist	OPRD1 | OPRM1		
dalargin	Phase 2	opioid receptor agonist	OPRM1		
dalbavancin	Launched	bacterial cell wall synthesis inhibitor	PNLIP	infectious disease	skin infections
dalcetrapib	Phase 3	cholesteryl ester transfer protein inhibitor	CETP		
dalfampridine	Launched	potassium channel blocker	KCNA1 | KCNA10 | KCNA2 | KCNA3 | KCNA4 | KCNA5 | KCNA6 | KCNA7 | KCNB1 | KCNB2 | KCNC1 | KCNC2 | KCNC3 | KCNC4 | KCND1 | KCND2 | KCND3 | KCNF1 | KCNG1 | KCNG2 | KCNG3 | KCNG4 | KCNH1 | KCNH2 | KCNH3 | KCNH4 | KCNH5 | KCNH6 | KCNH7 | KCNH8 | KCNJ13 | KCNJ5 | KCNQ1 | KCNQ2 | KCNQ3 | KCNQ4 | KCNQ5 | KCNS1 | KCNS2 | KCNS3 | KCNV1 | KCNV2	neurology/psychiatry	multiple sclerosis
dalfopristin	Preclinical	antibacterial			
D-alpha-tocopheryl-succinate	Launched				
daltroban	Phase 3	thromboxane receptor antagonist	TBXA2R		
daminozide	Preclinical	KDM2A inhibitor	KDM2A | KDM7A | PHF8		
danazol	Launched	estrogen receptor antagonist | progesterone receptor agonist	AR | CCL2 | CYP2C8 | ESR1 | GNRHR | GNRHR2 | PGR | TNF	cardiology | obstetrics/gynecology	angioedema | endometriosis
danegaptide	Phase 2	gap junction modulator			
danirixin	Phase 2	CC chemokine receptor antagonist	CXCR2		
danofloxacin	Launched	bacterial DNA gyrase inhibitor		pulmonary	bovine respiratory disease (BRD)
danoprevir	Phase 3	HCV inhibitor			
dantrolene	Launched	calcium channel blocker	RYR1 | RYR3	endocrinology | neurology/psychiatry	malignant hyperthermia (MH) | spasms
dantron	Withdrawn	laxative			
danusertib	Phase 2	Aurora kinase inhibitor | growth factor receptor inhibitor	AURKA | AURKB | AURKC | BCR | FGFR1 | NTRK1 | RET | SLK		
dapagliflozin	Launched	sodium/glucose cotransporter inhibitor	SLC5A1 | SLC5A2	endocrinology	diabetes mellitus
dapansutrile	Phase 2	anti-inflammatory agent	NLRP3		
daphnetin	Preclinical	protein kinase inhibitor			
dapiprazole	Launched	adrenergic receptor antagonist	ADRA1A | ADRA1B | ADRA1D	ophthalmology	mydriasis
dapivirine	Phase 3	non-nucleoside reverse transcriptase inhibitor	CYP2B6 | CYP2C19 | CYP2C8 | CYP3A4 | CYP3A5		
dapoxetine	Launched	selective serotonin reuptake inhibitor (SSRI)	HTR1A | HTR1B | HTR2C | SLC6A4	urology	premature ejaculation (PE)
daprodustat	Phase 3	hypoxia inducible factor inhibitor	EGLN1		
dapsone	Launched	bacterial antifolate	DHFR	dermatology | infectious disease	dermatitis herpetiformis (DH) | leprosy
DAPT	Preclinical	gamma secretase inhibitor			
daptomycin	Launched	bacterial cell wall synthesis inhibitor		infectious disease | infectious disease | infectious disease	"endocarditis | skin infections | skin infections, endocarditis"
darapladib	Phase 3	phospholipase inhibitor	PLA2G7		
darglitazone	Phase 2	PPAR receptor antagonist	INS | PPARG		
darifenacin	Launched	acetylcholine receptor antagonist	CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5	urology	urinary incontinence
darolutamide	Launched	androgen receptor antagonist	AR	oncology | oncology	breast cancer | prostate cancer
darunavir	Launched	HIV protease inhibitor	CYP3A4 | CYP3A5	infectious disease	human immunodeficiency virus (HIV-1)
darusentan	Phase 3	endothelin receptor antagonist	EDNRA		
dasabuvir	Launched	HCV inhibitor		infectious disease	hepatitis C
dasatinib	Launched	Bcr-Abl kinase inhibitor | ephrin inhibitor | KIT inhibitor | PDGFR tyrosine kinase receptor inhibitor | SRC inhibitor | tyrosine kinase inhibitor	ABL1 | ABL2 | BCR | BLK | BTK | DDR1 | DDR2 | EPHA2 | FGR | FRK | FYN | HCK | KIT | LCK | LYN | PDGFRA | PDGFRB | SRC | SRMS | STAT5B | YES1	hematologic malignancy | hematologic malignancy	acute lymphoblastic leukemia (ALL) | chronic myeloid leukemia (CML)
dasotraline	Phase 3	dopamine-norepinephrine-serotonin reuptake inhibitor	DRD2 | HTR1A | SLC6A2 | SLC6A3 | SLC6A4		
DAU-5884	Preclinical	acetylcholine receptor antagonist	CHRM1 | CHRM3		
